flowLength,duration,accessFreq,risk_level
325,0,426,低风险
44,0,76,低风险
200,0,421,低风险
224,0,1783,低风险
965,0,0,低风险
226,0,1705,低风险
331,0,2512,低风险
2091,26,326,低风险
298,0,1691,低风险
178,0,437,低风险
255,0,488,低风险
234,0,11864,低风险
383,0,0,低风险
2361,0,328,低风险
145,0,0,低风险
4998,3,416,低风险
233,0,581,低风险
42,22,42,低风险
333,0,1282,低风险
8812,0,372,低风险
221,0,1912,低风险
304,0,313,低风险
224,0,5024,低风险
192,0,0,低风险
373,0,0,低风险
186,0,14515,低风险
0,0,0,低风险
43,0,135,低风险
325,0,185,低风险
111,20,44,低风险
1256,0,329,低风险
314,0,365,低风险
216,0,5864,低风险
491,0,0,低风险
0,0,0,低风险
44,0,44,低风险
192,0,0,低风险
0,0,0,低风险
213,0,2713,低风险
2278,0,0,低风险
906,0,408,低风险
312,0,8819,低风险
317,0,370,低风险
185,0,19807,低风险
224,0,4414,低风险
238,0,2101,低风险
353,0,418,低风险
204881,0,335,低风险
302,0,1588,低风险
335,0,630,低风险
302,0,734,低风险
287,0,811,低风险
1690,0,0,低风险
322,0,3327,低风险
44,0,76,低风险
8766,0,0,低风险
370,0,414,低风险
960,0,0,低风险
105,0,146,低风险
298,0,947,低风险
254,0,386,低风险
89,119,45,低风险
1837,7,330,低风险
48,0,486,低风险
181,0,128,低风险
189,0,314,低风险
30,0,0,低风险
284,407,8734,低风险
307,0,673,低风险
1661,1,333,低风险
295,0,2966,低风险
161,0,5530,低风险
241,0,429,低风险
327,0,270,低风险
252,0,1483,低风险
217,0,1379,低风险
214,0,1651,低风险
339,0,1150,低风险
147,0,2447,低风险
970,0,388,低风险
235,0,32795,低风险
0,0,0,低风险
383,0,0,低风险
42,0,126,低风险
1376,0,0,低风险
2146,1,332,低风险
250,0,2196,低风险
228,0,7333,低风险
10272,0,0,低风险
271,0,3315,低风险
236,0,7610,低风险
320,0,8263,低风险
323,0,1056,低风险
253,0,1054,低风险
325,0,186,低风险
154,0,38649,低风险
191,0,1938,低风险
317,0,1040,低风险
252,0,1483,低风险
36,0,0,低风险
46,0,72,低风险
296,0,7956,低风险
147,2035,105,低风险
220,0,1205,低风险
187,0,312,低风险
147,16872,105,低风险
322,0,656,低风险
43,0,132,低风险
965,0,0,低风险
279,0,8936,低风险
146,9033,105,低风险
264,0,3011,低风险
238,0,3862,低风险
1630,8,335,低风险
2140,2,332,低风险
233,0,2943,低风险
289,0,1719,低风险
30,0,0,低风险
231,0,417,低风险
105,5,145,低风险
303,0,369,低风险
4539,0,0,低风险
307,0,400,低风险
227,0,9703,低风险
329,0,2126,低风险
9178,0,0,低风险
8,0,139,低风险
42,0,42,低风险
307,0,885,低风险
326,0,2431,低风险
313,0,940,低风险
323,0,608,低风险
206,0,1286,低风险
322,0,998,低风险
307,0,288,低风险
268,0,10333,低风险
196,0,7203,低风险
292,0,9001,低风险
199,0,986,低风险
193,0,28696,低风险
274,0,15342,低风险
248,0,2006,低风险
299,0,447,低风险
46,0,46,低风险
105,0,147,低风险
81,0,0,低风险
240,0,756,低风险
171,0,409,低风险
2194619,2,0,低风险
45,0,134,低风险
105,14,147,低风险
248,0,501,低风险
299,0,392,低风险
2265,0,387,低风险
0,0,0,低风险
252,0,0,低风险
309,0,390,低风险
289,0,16639,低风险
205,0,95839,低风险
87,0,0,低风险
326,0,942,低风险
183,0,0,低风险
284,0,170,低风险
191,0,1528,低风险
0,0,0,低风险
192,0,0,低风险
196,0,14123,低风险
222,0,1295,低风险
240,0,1469,低风险
334,0,279,低风险
886,4,326,低风险
42,0,42,低风险
46,0,46,低风险
145,9094,105,低风险
316,0,3605,低风险
234,0,927,低风险
257,0,418,低风险
242,0,669,低风险
3227,11460,36853,低风险
1258,2,359,低风险
373,0,1575,低风险
322,0,16407,低风险
884,0,0,低风险
357,0,841,低风险
30,0,0,低风险
208,0,424,低风险
44,0,76,低风险
276,0,0,低风险
10,0,35,低风险
236,0,1215,低风险
105,0,146,低风险
229,0,1003,低风险
48,0,48,低风险
0,0,0,低风险
288,0,555,低风险
1466,102,4152,低风险
36,0,0,低风险
942,1,374,低风险
2491,3,366,低风险
42,0,42,低风险
4753,0,0,低风险
12715,15,1459,低风险
43,0,125,低风险
212,0,6134,低风险
210,0,1863,低风险
245,0,1761,低风险
281,0,3816,低风险
0,0,0,低风险
95,0,0,低风险
78,0,0,低风险
233,0,13807,低风险
309,0,755,低风险
44,0,134,低风险
46,0,80,低风险
44,0,44,低风险
105,0,145,低风险
43,0,134,低风险
7,0,221,低风险
2890,0,0,低风险
190,0,244,低风险
350,0,590,低风险
291,0,2669,低风险
46,0,128,低风险
212,0,984,低风险
284,23,903,低风险
906,0,408,低风险
696,0,333,低风险
30,0,0,低风险
210,0,806,低风险
65,0,0,低风险
2615,0,326,低风险
338,0,1228,低风险
145,2629,105,低风险
125,0,235,低风险
209,0,577,低风险
145,4685,105,低风险
241,0,2324,低风险
0,0,0,低风险
44,0,44,低风险
318,0,3016,低风险
109,10946,3245,低风险
307,0,635,低风险
345,0,713,低风险
292,0,6669,低风险
6601,0,0,低风险
320,0,8263,低风险
181,0,0,低风险
43,0,126,低风险
316,0,505,低风险
12286,0,0,低风险
211,0,861,低风险
301,0,3654,低风险
105,0,145,低风险
3081,0,334,低风险
46,0,75,低风险
43,0,125,低风险
3064,0,336,低风险
337,0,10541,低风险
45,0,45,低风险
44,0,76,低风险
1363,0,0,低风险
164,0,9785,低风险
22,0,75,低风险
383,0,0,低风险
305,0,3819,低风险
0,0,0,低风险
225,21,767,低风险
317,0,2491,低风险
24,1,36,低风险
193,0,929,低风险
319,0,3432,低风险
353,0,2251,低风险
284,0,1444,低风险
1513,31,4152,低风险
45,0,77,低风险
206,0,576,低风险
251,0,272,低风险
1250,1,327,低风险
105,1,147,低风险
44,0,138,低风险
243,55,238,低风险
218,0,2839,低风险
227,0,3898,低风险
213,0,1108,低风险
42,0,42,低风险
313,0,313,低风险
192,0,762,低风险
324,0,456,低风险
12338,0,918,低风险
4316,0,0,低风险
213,0,2713,低风险
145,0,0,低风险
231,0,5417,低风险
2119,11,332,低风险
6601,0,0,低风险
269,0,2117,低风险
313,0,11759,低风险
20,0,0,低风险
418,0,9927,低风险
145,0,0,低风险
44,0,92,低风险
30,0,0,低风险
260,0,1596,低风险
223,0,2137,低风险
0,0,0,低风险
285,0,25519,低风险
317,0,23209,低风险
209,0,1080,低风险
44788,0,48103,低风险
105,0,146,低风险
307,0,1212,低风险
174,264,4267,低风险
200,0,6529,低风险
71,0,0,低风险
182,0,1953,低风险
39,0,39,低风险
43,0,128,低风险
415,0,235,低风险
602,1,333,低风险
5891,0,0,低风险
12324,0,0,低风险
30,0,0,低风险
324,0,258,低风险
146,687,105,低风险
224,0,1228,低风险
17,3030,17,低风险
234,0,1244,低风险
214,0,9673,低风险
146,6522,105,低风险
418,0,6726,低风险
215,0,6367,低风险
0,0,0,低风险
241,0,1400,低风险
652,0,327,低风险
1201,0,330,低风险
1132,0,279,低风险
216,0,2658,低风险
230,0,465,低风险
237,0,34513,低风险
196,0,1337,低风险
1100,12,330,低风险
0,0,0,低风险
301,0,18376,低风险
0,0,0,低风险
245,0,0,低风险
323,0,3805,低风险
350,0,719,低风险
193,0,2969,低风险
12,0,0,低风险
387,0,349,低风险
26,0,0,低风险
291,0,1792,低风险
4753,0,0,低风险
35195,0,0,低风险
207,0,306,低风险
44,0,112,低风险
252,0,0,低风险
239,0,1423,低风险
44,0,126,低风险
0,0,0,低风险
343,0,2445,低风险
275,0,337,低风险
147,4219,105,低风险
381,0,1139,低风险
209,0,1817,低风险
859,0,325,低风险
30,0,0,低风险
45,0,111,低风险
215,0,1761,低风险
329,0,12471,低风险
313,0,2698,低风险
161,0,257,低风险
223,0,1139,低风险
145,1185,105,低风险
285,0,12884,低风险
313,0,9458,低风险
339,0,1035,低风险
700,0,325,低风险
1635,0,333,低风险
208,0,281,低风险
216,0,1302,低风险
0,0,0,低风险
43,0,129,低风险
347,0,483,低风险
691,842,24668,低风险
325,0,682,低风险
306,23,1043,低风险
268,0,9518,低风险
213,0,414,低风险
38,0,130,低风险
102,0,0,低风险
216,0,4080,低风险
307,0,727,低风险
150,4,13042,低风险
11376,0,0,低风险
41,0,70,低风险
319,0,1338,低风险
236,0,770,低风险
1125,0,386,低风险
45,0,133,低风险
254,0,390,低风险
841,0,325,低风险
220,0,12250,低风险
110,29,33,低风险
45,0,129,低风险
182,0,0,低风险
44,0,115,低风险
252,0,1483,低风险
44,0,69,低风险
219,0,607,低风险
216,0,1077,低风险
293,0,5915,低风险
244,0,198,低风险
295,0,2996,低风险
212,0,362,低风险
340,0,780,低风险
233,0,891,低风险
1318,12041,9761,低风险
317,0,2989,低风险
11,0,0,低风险
354,0,449,低风险
314,0,575,低风险
330,0,772,低风险
45,0,114,低风险
643,2,330,低风险
216,0,2100,低风险
46,0,72,低风险
36,0,0,低风险
46,29,46,低风险
0,0,0,低风险
15,0,0,低风险
1837,7,330,低风险
346,0,1943,低风险
0,0,0,低风险
298,0,1075,低风险
305,0,3819,低风险
335,0,480,低风险
43,0,43,低风险
201,0,1026,低风险
92,1130,1204,低风险
383,0,0,低风险
30,0,0,低风险
2326,10,231052,低风险
224,0,1270,低风险
211,0,304,低风险
147,4545,105,低风险
42,23,34,低风险
352,0,788,低风险
266,0,529,低风险
201,0,3142,低风险
223,0,2137,低风险
272,0,361,低风险
216,0,8970,低风险
219,0,935,低风险
2455,0,333,低风险
383,0,0,低风险
316,0,2239,低风险
303,0,458,低风险
297,0,2107,低风险
1452,2,330,低风险
327,0,1921,低风险
385,0,361,低风险
287,0,1728,低风险
771,0,374,低风险
302,0,241,低风险
198,0,256,低风险
45,0,131,低风险
10,0,39,低风险
641,0,0,低风险
43,0,109,低风险
45,0,76,低风险
231,0,375,低风险
44,0,73,低风险
340,0,805,低风险
232,0,2507,低风险
292,0,23238,低风险
145,1900,105,低风险
0,0,0,低风险
851,0,479,低风险
1458,29,4152,低风险
1232,1,333,低风险
205,0,13831,低风险
15377,0,0,低风险
212,0,529,低风险
0,0,0,低风险
3334,1,332,低风险
244,0,2316,低风险
641,0,0,低风险
0,0,0,低风险
1419,2,367,低风险
2376,10,329,低风险
0,0,0,低风险
1012,0,331,低风险
146,687,105,低风险
12,0,0,低风险
45,0,72,低风险
218,0,259,低风险
260,0,190,低风险
297,0,1423,低风险
308,0,299,低风险
1570,14,332,低风险
3909,0,0,低风险
45,0,45,低风险
214,0,4954,低风险
196,0,467,低风险
241,0,389,低风险
285,0,812,低风险
337,0,255,低风险
748,0,0,低风险
805,0,328,低风险
231,0,15618,低风险
300,0,1473,低风险
46,0,78,低风险
294,0,616,低风险
246,0,4686,低风险
1546,0,336,低风险
312,0,2507,低风险
0,0,0,低风险
279,0,3731,低风险
236,0,29200,低风险
748,0,0,低风险
259,0,398,低风险
1362,15,327,低风险
333,0,5726,低风险
105,0,0,低风险
32,0,48,低风险
1504,0,338,低风险
331,0,9207,低风险
212,0,5044,低风险
30,0,0,低风险
911,3,332,低风险
43,0,130,低风险
339,0,5320,低风险
210,0,498,低风险
247,0,1638,低风险
146,7130,105,低风险
937,1,373,低风险
30,0,0,低风险
44,0,134,低风险
46,0,141,低风险
59,0,0,低风险
1504,29,4152,低风险
252,0,2125,低风险
236,0,26817,低风险
247,0,589,低风险
204,0,1368,低风险
205,0,465,低风险
235,22,769,低风险
46,0,128,低风险
45,0,45,低风险
2766,0,476,低风险
298,0,1515,低风险
244,0,1026,低风险
220,24,767,低风险
390,3983,7872,低风险
316,0,334,低风险
44,0,129,低风险
45,0,135,低风险
884,0,0,低风险
336,0,12265,低风险
210,0,746,低风险
221,0,1789,低风险
44,0,113,低风险
192,0,0,低风险
145,575,105,低风险
46,0,134,低风险
153,0,9267,低风险
848,31,2586,低风险
30,0,0,低风险
186,0,690,低风险
1713,0,336,低风险
37,0,0,低风险
221,0,602,低风险
5891,0,0,低风险
44,0,76,低风险
44,0,72,低风险
226,0,1270,低风险
0,0,0,低风险
36,0,0,低风险
6,0,269,低风险
42,0,42,低风险
312,0,10010,低风险
332,0,10351,低风险
105,1,147,低风险
199,0,2055,低风险
210,0,1313,低风险
289,0,3780,低风险
40,0,40,低风险
105,0,145,低风险
347,0,1417,低风险
7196,0,0,低风险
294,0,3327,低风险
42,0,42,低风险
309,0,398,低风险
311,0,1473,低风险
637,0,0,低风险
257,0,125015,低风险
243,0,398,低风险
145,2130,105,低风险
304,0,1680,低风险
0,0,0,低风险
46,0,72,低风险
12241,0,0,低风险
425,0,0,低风险
224,0,449,低风险
205,0,1042,低风险
289,0,183,低风险
348,0,2870,低风险
272,0,2042,低风险
0,0,0,低风险
325,0,1817,低风险
221,0,1425,低风险
46,0,46,低风险
214,0,306,低风险
601,0,286,低风险
167,0,2770,低风险
2376,10,329,低风险
1084,1,327,低风险
358,0,1329,低风险
342,0,2263,低风险
240,0,2698,低风险
31,0,0,低风险
230,0,15121,低风险
651,0,480,低风险
313,0,248,低风险
208,0,2668,低风险
251,0,388,低风险
266,0,691,低风险
360,0,1738,低风险
314,0,1053,低风险
330,0,837,低风险
328,0,24786,低风险
209,0,1820,低风险
224,0,832,低风险
222,0,1447,低风险
205,159,308,低风险
0,0,0,低风险
748,0,0,低风险
46,0,76,低风险
33,0,0,低风险
258,0,7333,低风险
311,0,248,低风险
294,0,1719,低风险
254,0,1419,低风险
1080,1,327,低风险
334,0,10383,低风险
187,0,15157,低风险
230,0,10828,低风险
253,0,607,低风险
268,5,279,低风险
326,0,12944,低风险
225,0,758,低风险
512,0,307,低风险
172,0,15119,低风险
213,0,6418,低风险
244,0,1026,低风险
0,0,0,低风险
248,0,3200,低风险
46,0,132,低风险
2099,0,368,低风险
1153,0,0,低风险
147,0,0,低风险
214,0,283,低风险
82,0,206,低风险
456980,0,0,低风险
1030,0,0,低风险
245,0,0,低风险
198,0,2406,低风险
309,0,10929,低风险
345,0,607,低风险
303,0,312,低风险
271,0,3315,低风险
294,0,1600,低风险
30,0,0,低风险
194,0,0,低风险
207,0,337,低风险
43,0,109,低风险
202,0,1382,低风险
42,0,122,低风险
327,0,607,低风险
1133,0,329,低风险
44,0,76,低风险
75,0,46,低风险
0,0,0,低风险
44,0,120,低风险
312,0,6775,低风险
204,0,3881,低风险
147,0,11633,低风险
840,0,336,低风险
147,0,0,低风险
194,0,365,低风险
1330,10,282,低风险
208,0,1645,低风险
345,0,9146,低风险
26408,0,0,低风险
200,0,354,低风险
215,0,337,低风险
246,0,602,低风险
105,0,146,低风险
246,0,11889,低风险
147,0,376,低风险
105,0,145,低风险
287,27,903,低风险
226,0,4046,低风险
42,0,84,低风险
293,0,253,低风险
308,0,579,低风险
44,0,69,低风险
0,0,0,低风险
205,0,1395,低风险
884,0,0,低风险
264,0,8786,低风险
216,0,1233,低风险
219,0,465,低风险
1567,0,476,低风险
42,0,42,低风险
516,0,4,低风险
7233,0,0,低风险
147,0,0,低风险
287,0,2859,低风险
9,0,593,低风险
109,14,45,低风险
305,0,3248,低风险
2621,1,332,低风险
1458,0,325,低风险
151,0,1946,低风险
4491,0,0,低风险
88,0,0,低风险
105,0,145,低风险
1580,6,333,低风险
209,0,1080,低风险
44,0,70,低风险
0,0,0,低风险
2476,1,387,低风险
44,0,115,低风险
45,0,135,低风险
147,2475,105,低风险
368,0,200,低风险
30,0,0,低风险
44,0,110,低风险
3446,0,328,低风险
317,0,667,低风险
210,0,797,低风险
215,0,2698,低风险
262,0,11785,低风险
594,0,325,低风险
214,0,1394,低风险
44,0,44,低风险
147,1208,105,低风险
42,0,42,低风险
192,2,1630,低风险
938,27,2720,低风险
324,0,344,低风险
234,0,5280,低风险
181,0,0,低风险
0,0,0,低风险
217,0,3669,低风险
5929,0,0,低风险
761,0,330,低风险
45,0,77,低风险
42,0,129,低风险
240,0,434,低风险
197,0,1410,低风险
251,0,6314,低风险
245,0,357,低风险
7940,0,0,低风险
991,0,330,低风险
43,0,74,低风险
294,0,297,低风险
45,0,87,低风险
313,0,1404,低风险
46,0,128,低风险
187,0,312,低风险
4753,0,0,低风险
938,1,332,低风险
311,0,26340,低风险
203,0,6178,低风险
209,0,1820,低风险
289,0,454,低风险
266,0,1646,低风险
221,0,10554,低风险
318,0,357,低风险
1295,1,375,低风险
8,0,0,低风险
306,0,2507,低风险
171,0,409,低风险
351,0,725,低风险
205,0,253,低风险
239,0,775,低风险
223,0,2358,低风险
228,0,7333,低风险
379,0,2269,低风险
1787,0,327,低风险
12,0,0,低风险
105,0,0,低风险
105,0,146,低风险
1066,0,279,低风险
9654,17,337,低风险
321,0,1116,低风险
0,0,0,低风险
383,0,0,低风险
300,0,1195,低风险
46,0,81,低风险
313,0,940,低风险
219,0,336,低风险
301,0,416,低风险
236,0,189,低风险
760,0,326,低风险
254,0,732,低风险
216,0,2658,低风险
92884,1,328,低风险
2010,3,334,低风险
193,0,758,低风险
246,0,602,低风险
42,0,71,低风险
212,0,0,低风险
44,0,80,低风险
903,15,388,低风险
1936,0,398,低风险
235,0,439,低风险
45,0,79,低风险
233,0,1919,低风险
26408,0,0,低风险
42,0,42,低风险
46,0,127,低风险
309,0,3248,低风险
312,0,422,低风险
0,0,0,低风险
44,0,72,低风险
312,0,575,低风险
973,0,326,低风险
43,0,73,低风险
328,240,275,低风险
46,0,71,低风险
10272,0,0,低风险
36,0,0,低风险
203,0,402,低风险
397,0,788,低风险
174,0,3159,低风险
42,3,42,低风险
0,0,0,低风险
226,0,191,低风险
260,0,387,低风险
195,0,318,低风险
303,0,2516,低风险
250,0,774,低风险
259,0,295,低风险
491,0,0,低风险
315,0,1660,低风险
146,8649,105,低风险
291,0,320,低风险
190,0,3586,低风险
4866,14680,72771,低风险
147,2708,105,低风险
199,0,363,低风险
360,0,4425,低风险
288,0,401,低风险
216,0,2654,低风险
226,0,1933,低风险
331,0,1252,低风险
201,0,1058,低风险
42,0,65,低风险
278,0,563,低风险
211,0,294,低风险
147,4576,105,低风险
46,0,146,低风险
24,13,42,低风险
306,0,1075,低风险
199,0,2055,低风险
30,0,0,低风险
237,0,1091,低风险
0,0,0,低风险
2061,1,335,低风险
22,0,0,低风险
234,0,6850,低风险
318,0,2649,低风险
314,0,6946,低风险
208,0,757,低风险
228,0,11390,低风险
324,0,344,低风险
1895,4,336,低风险
6,0,357,低风险
194,0,0,低风险
0,0,0,低风险
147,275,105,低风险
225,0,550,低风险
205,0,1651,低风险
333,0,1301,低风险
343,0,203,低风险
1770,3,328,低风险
250,0,683,低风险
255,0,6023,低风险
30,0,0,低风险
37,0,0,低风险
1743,0,277,低风险
482,0,9079,低风险
46,0,130,低风险
213,0,3276,低风险
241,0,4848,低风险
105,14,147,低风险
368,0,2751,低风险
339,0,2873,低风险
303,0,1349,低风险
191,0,17975,低风险
1213,3,361,低风险
88382,0,0,低风险
146,2420,105,低风险
319,0,12434,低风险
298,0,6515,低风险
306,0,1075,低风险
214,0,788,低风险
324,0,1249,低风险
325,0,186,低风险
0,0,0,低风险
0,0,0,低风险
42,0,42,低风险
345,0,4047,低风险
1970,0,401,低风险
0,0,0,低风险
641,0,0,低风险
45,0,126,低风险
42,0,42,低风险
337,0,664,低风险
234,0,2659,低风险
237,63,406,低风险
1289,0,331,低风险
29,0,29,低风险
346,0,4291,低风险
611,0,331,低风险
45,0,129,低风险
157,0,607,低风险
45,0,45,低风险
309,0,757,低风险
158,0,10144,低风险
30,0,0,低风险
302,0,258,低风险
218,0,1721,低风险
332,0,12343,低风险
210,0,1888,低风险
314,0,2387,低风险
748,0,0,低风险
7,0,221,低风险
147,5385,105,低风险
42,0,102,低风险
642,0,327,低风险
208,0,1337,低风险
113,0,0,低风险
256,0,8708,低风险
219,0,2747,低风险
1517,1,332,低风险
199,0,1606,低风险
972,0,330,低风险
0,0,0,低风险
12324,0,0,低风险
0,0,0,低风险
315,0,2777,低风险
326,0,2659,低风险
202,0,1382,低风险
64,0,0,低风险
228,0,1712,低风险
200,0,2224,低风险
1126224,12,16064,低风险
214,0,337,低风险
45,0,45,低风险
180,0,2401,低风险
297,0,616,低风险
293,0,1875,低风险
228,0,7333,低风险
200,0,1021,低风险
325,0,16692,低风险
311,0,1426,低风险
0,0,0,低风险
44,0,44,低风险
6,0,147,低风险
43,0,130,低风险
608,0,327,低风险
46,0,135,低风险
210,0,955,低风险
95,5,36,低风险
291,0,2669,低风险
46,0,72,低风险
74,0,0,低风险
210,0,5756,低风险
44,0,70,低风险
207,0,2429,低风险
45,0,45,低风险
0,0,0,低风险
222,0,866,低风险
273,0,4834,低风险
213,0,12863,低风险
196,0,210,低风险
516,0,4,低风险
767,0,332,低风险
1295,1,375,低风险
848,5,329,低风险
269,0,285,低风险
255,0,488,低风险
191,0,1938,低风险
42,0,73,低风险
319,0,387,低风险
1493,6,365,低风险
211,0,321,低风险
307,0,863,低风险
171,0,409,低风险
756,1,332,低风险
234,0,3918,低风险
110,0,44,低风险
742,1,329,低风险
215,0,755,低风险
17,0,70,低风险
207,0,1345,低风险
214,0,253,低风险
289,0,8891,低风险
0,0,0,低风险
293,0,13599,低风险
243,0,281,低风险
1369,0,333,低风险
206,0,1056,低风险
220,0,370,低风险
232,0,332,低风险
740,0,0,低风险
258,0,6627,低风险
249,0,1875,低风险
252,0,0,低风险
370,0,468,低风险
301,0,4433,低风险
213,0,310,低风险
244,0,976,低风险
201,0,1263,低风险
794,14517,152110,低风险
226,0,1125,低风险
250,0,271,低风险
212,0,1115,低风险
46,0,46,低风险
0,0,0,低风险
317,0,15675,低风险
12165,0,0,低风险
